The Minimalist Perfecting Complexion Foundation and Concealer Stick	Sephora	80	31	16	https://www.sephora.com/product/merit-the-minimalist-perfecting-complexion-foundation-concealer-stick-P468694?skuId=2569085	MERIT	Buff	38.0
Matte Perfection Powder Foundation	Sephora	228	199	185	https://www.sephora.com/product/matte-perfection-powder-foundation-P408606?skuId=1787639	SEPHORA COLLECTION	14 Neutral Linen	20.0
Skin Foundation SPF 15	Sephora	248	221	204	https://www.sephora.com/product/skin-foundation-spf-15-P270551?skuId=1288794	Bobbi Brown	Warm Beige 3.5	52.0
Natural Radiant Longwear Foundation	Sephora	255	224	209	https://www.sephora.com/product/natural-radiant-longwear-foundation-P427301?skuId=2030955	NARS	Yukon	50.0
Vision Cream Cover Adjustable Foundation & Concealer	Sephora	206	180	155	https://www.sephora.com/product/danessa-myricks-vision-cream-cover-2-in-1-foundation-concealer-P469460?skuId=2443919	Danessa Myricks Beauty	W02	22.0
Super Smoother Blurring Skin Tint	Sephora	234	199	179	https://www.sephora.com/product/iconic-london-super-smoother-blurring-skin-tint-P502623?skuId=2609147	Iconic London	Neutral Medium	32.0
Natural Radiant Longwear Foundation	Sephora	255	224	209	https://www.sephora.com/product/natural-radiant-longwear-foundation-P427301?skuId=2031144	NARS	Huahine	50.0
Luminous Silk Perfect Glow Flawless Oil-Free Foundation	Sephora	233	202	173	https://www.sephora.com/product/luminous-silk-foundation-P393401	Armani Beauty	7.5	69.0
Original Loose Powder Mineral Foundation SPF 15	Sephora	199	171	147	https://www.sephora.com/product/bareminerals-original-foundation-broad-spectrum-spf-15-P61003?skuId=1922525	bareMinerals	Neutral Dark 24	38.0
Synchro Skin Self-Refreshing Foundation SPF 30	Sephora	250	229	200	https://www.sephora.com/product/synchro-skin-self-refreshing-foundation-spf-30-P449106?skuId=2248565	Shiseido	230	47.0
Your Skin But Better Foundation + Skincare	Sephora	194	141	97	https://www.sephora.com/product/it-cosmetics-your-skin-but-better-foundation-skincare-P461600?skuId=2379899	IT Cosmetics	Rich Cool 50	44.0
Luminous Silk Perfect Glow Flawless Oil-Free Foundation	Sephora	233	202	173	https://www.sephora.com/product/luminous-silk-foundation-P393401	Armani Beauty	7.5	69.0
#FauxFilter Skin Finish Buildable Coverage Foundation Stick	Sephora	255	224	204	https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324	HUDA BEAUTY	300N Latte	39.0
BAREPRO 16-HR Skin-Perfecting Powder Foundation	Sephora	210	162	126	https://www.sephora.com/product/barepro-longwear-powder-foundation-P410543?skuId=2516771	bareMinerals	Fair 17 Neutral	38.0
Triclone Skin Tech Medium Coverage Foundation with Fermented Arnica	Sephora	56	28	6	https://www.sephora.com/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185?skuId=2597060	HAUS LABS BY LADY GAGA	530 Deep Neutral	45.0
Essential High Coverage Crème Foundation	Sephora	235	216	209	https://www.sephora.com/product/essential-high-coverage-creme-foundation-P434015?skuId=2125086	Jouer Cosmetics	Alabaster	38.0
Stay Naked Weightless Foundation	Sephora	221	170	149	https://www.sephora.com/product/stay-naked-weightless-foundation-P447143?skuId=2247310	Urban Decay	90WR	10.0
Sublime Perfection Foundation	Sephora	255	237	225	https://www.sephora.com/product/skin-fetish-sublime-perfection-foundation-P447519?skuId=2257178	PAT McGRATH LABS	Deep 31	68.0
Éternité De Beauté 24 Hour Full Coverage Luminous Matte Finish Foundation	Sephora	237	205	184	https://www.sephora.com/product/gucci-fluide-de-beaute-fini-naturel-natural-finish-fluid-foundation-P467622?skuId=2638781	Gucci	360W	69.0
Pro Filt’r Soft Matte Longwear Powder Foundation	Sephora	250	230	223	https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?skuId=2413375	Fenty Beauty by Rihanna	120	40.0
#FauxFilter Luminous Matte Foundation	Sephora	245	230	225	https://www.sephora.com/product/huda-beauty-faux-filter-luminous-matte-foundation-P467625?skuId=2425593	HUDA BEAUTY	540G Chocolate Truffle	42.0
Essential High Coverage Crème Foundation	Sephora	235	216	209	https://www.sephora.com/product/essential-high-coverage-creme-foundation-P434015?skuId=2124873	Jouer Cosmetics	Espresso	38.0
#FauxFilter Skin Finish Buildable Coverage Foundation Stick	Sephora	255	224	204	https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324	HUDA BEAUTY	300N Latte	39.0
NU BARE LOOK TINT Hydrating Skin Tint Foundation with Hyaluronic Acid	Sephora	252	214	165	https://www.sephora.com/product/yves-saint-laurent-nu-bare-look-skin-tint-foundation-P474600?skuId=2489250	Yves Saint Laurent	15	44.0
Matte Perfection Powder Foundation	Sephora	228	199	185	https://www.sephora.com/product/matte-perfection-powder-foundation-P408606?skuId=1787795	SEPHORA COLLECTION	46 Almond Peach	20.0
Futurist Hydra Rescue Moisturizing Foundation SPF 45	Sephora	123	89	79	https://www.sephora.com/product/estee-lauder-futurist-hydrating-rescue-moisturizing-foundation-spf-45-P454063?skuId=2324432	Estée Lauder	4N1 Shell Beige	50.0
Yummy Skin Serum Foundation Refill	Sephora	255	231	207	https://www.sephora.com/product/danessa-myricks-beauty-yummy-skin-serum-foundation-refill-P481695?skuId=2575918	Danessa Myricks Beauty	26N	24.0
True Skin Medium Coverage Serum Foundation with Niacinamide	Sephora	226	204	183	https://www.sephora.com/product/true-skin-serum-foundation-P429548?skuId=2527653	ILIA	Chios SF6	54.0
Eaze Drop Blurring Skin Tint	Sephora	250	226	214	https://www.sephora.com/product/fenty-beauty-rihanna-eaze-drop-blurring-skin-tint-P470025?skuId=2432003	Fenty Beauty by Rihanna	25	35.0
Tinted Face Oil Comfy Skin Tint	Sephora	243	184	140	https://www.sephora.com/product/tinted-face-oil-P441884?skuId=2193621	Kosas	Tone 08	42.0
Essential High Coverage Crème Foundation	Sephora	235	216	209	https://www.sephora.com/product/essential-high-coverage-creme-foundation-P434015?skuId=2124758	Jouer Cosmetics	Praline	38.0
Maracuja Hydrating Tinted Moisturizer	Sephora	175	122	88	https://www.sephora.com/product/tarte-maracuja-tinted-hydrator-P456371?skuId=2343465	tarte	22S light sand	30.0
Ambient Soft Glow Foundation	Sephora	224	206	192	https://www.sephora.com/product/ambient-soft-glow-foundation-P501154?skuId=2587038	Hourglass	15.5	58.0
Synchro Skin Self-Refreshing Foundation SPF 30	Sephora	250	229	200	https://www.sephora.com/product/synchro-skin-self-refreshing-foundation-spf-30-P449106?skuId=2248722	Shiseido	510	47.0
