Bare With Me Blur Tint Soft Matte Foundation	Ulta	205	139	91	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2601296	NYX Professional Makeup	Golden Light	14.0
Skin by Mented Foundation	Ulta	216	162	126	https://www.ulta.com/p/skin-by-mented-foundation-pimprod2022002?sku=2578478	mented cosmetics	L10	30.0
Pro.Matte Foundation	Ulta	243	204	163	https://www.ulta.com/p/promatte-foundation-xlsImpprod17631407?sku=2522791	L.A. Girl	Ivory	8.99
Even Better Refresh Hydrating and Repairing Makeup Foundation	Ulta	243	222	205	https://www.ulta.com/p/even-better-refresh-hydrating-repairing-makeup-foundation-pimprod2004194?sku=2541663	Clinique	CN 0.75 Custard	37.0
Leg and Body Makeup	Ulta	254	229	198	https://www.ulta.com/p/leg-body-makeup-xlsImpprod16041799?sku=2509357	Dermablend	0N Fair Nude	40.0
Skin by Mented Foundation	Ulta	198	138	101	https://www.ulta.com/p/skin-by-mented-foundation-pimprod2022002?sku=2578526	mented cosmetics	T10	30.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	221	163	126	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592418	FENTY BEAUTY by Rihanna	230	40.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	228	171	100	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592422	FENTY BEAUTY by Rihanna	255	40.0
Pro.Matte Foundation	Ulta	189	142	100	https://www.ulta.com/p/promatte-foundation-xlsImpprod17631407?sku=2522796	L.A. Girl	Medium Beige	8.99
Pretty Fresh Hyaluronic Hydrating Foundation	Ulta	228	210	196	https://www.ulta.com/p/pretty-fresh-hyaluronic-hydrating-foundation-pimprod2016944?sku=2572867	ColourPop	Fair 03C	16.0
Illusion Hyaluronic Skin Tint	Ulta	218	179	140	https://www.ulta.com/p/illusion-hyaluronic-skin-tint-pimprod2020463?sku=2575949	HOURGLASS	Warm Ivory	56.0
Teint Idôle Ultra 24H Long Wear Matte Foundation	Ulta	208	160	114	https://www.ulta.com/p/teint-idole-ultra-24h-long-wear-matte-foundation-xlsImpprod4700057?sku=2244417	Lancôme	420 Bisque N	57.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	211	160	117	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592420	FENTY BEAUTY by Rihanna	240	40.0
Natural Radiant Longwear Foundation	Ulta	246	220	185	https://www.ulta.com/p/natural-radiant-longwear-foundation-xlsImpprod17421227?sku=2545725	NARS	Siberia	50.0
Pro.Matte Foundation	Ulta	144	97	55	https://www.ulta.com/p/promatte-foundation-xlsImpprod17631407?sku=2522804	L.A. Girl	Café	8.99
Good Apple Skin-Perfecting Hydrating Foundation Balm	Ulta	201	175	158	https://www.ulta.com/p/good-apple-skin-perfecting-hydrating-foundation-balm-pimprod2022990?sku=2577062	KVD Beauty	Light 002	42.5
Pro.Matte Foundation	Ulta	154	113	83	https://www.ulta.com/p/promatte-foundation-xlsImpprod17631407	L.A. Girl	Deep Tan	8.99
Encore Pressed Powder Foundation	Ulta	240	212	173	https://www.ulta.com/p/encore-pressed-powder-foundation-pimprod2014352?sku=2564466	Hynt Beauty	Ivory	45.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	218	153	97	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592421	FENTY BEAUTY by Rihanna	250	40.0
Bare With Me Blur Tint Soft Matte Foundation	Ulta	234	184	157	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2601294	NYX Professional Makeup	Vanilla	14.0
Say What?! Foundation	Ulta	234	192	167	https://www.ulta.com/p/say-what-foundation-pimprod2033346?sku=2593660	UOMA Beauty	White Pearl T1C	39.0
ORIGINAL Foundation Broad Spectrum SPF 15	Ulta	254	219	191	https://www.ulta.com/p/original-foundation-broad-spectrum-spf-15-VP11362?sku=5081178	bareMinerals	Fair 01	38.0
Superpowder Double Face Makeup Foundation	Ulta	220	180	145	https://www.ulta.com/p/superpowder-double-face-makeup-foundation-xlsImpprod10791897?sku=2260626	Clinique	Matte Medium	37.0
Pro Longwear Nourishing Waterproof Foundation	Ulta	230	183	137	https://www.ulta.com/p/pro-longwear-nourishing-waterproof-foundation-xlsImpprod15921226	MAC	NC12	41.0
Smooth Finish Foundation Powder	Ulta	254	215	174	https://www.ulta.com/p/smooth-finish-foundation-powder-pimprod2026345?sku=2586418	Laura Mercier	01	52.0
Bare With Me Blur Tint Soft Matte Foundation	Ulta	244	205	188	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2601291	NYX Professional Makeup	Fair	14.0
Superpowder Double Face Makeup Foundation	Ulta	219	179	144	https://www.ulta.com/p/superpowder-double-face-makeup-foundation-xlsImpprod10791897?sku=2260625	Clinique	Matte Neutral	37.0
Illusion Hyaluronic Skin Tint	Ulta	191	147	112	https://www.ulta.com/p/illusion-hyaluronic-skin-tint-pimprod2020463?sku=2575954	HOURGLASS	Beige	56.0
Infallible 24HR Fresh Wear Foundation In A Powder	Ulta	88	45	26	https://www.ulta.com/p/infallible-24hr-fresh-wear-foundation-in-a-powder-pimprod2021871?sku=2590609	L'Oréal	390 Ebony	15.99
Babassu Foundcealer Dewy Foundation SPF 20	Ulta	251	217	190	https://www.ulta.com/p/babassu-foundcealer-dewy-foundation-spf-20-pimprod2006408?sku=2542892	Tarte	8B Porcelain Beige	40.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	242	184	144	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592416	FENTY BEAUTY by Rihanna	210	40.0
Skin by Mented Foundation	Ulta	208	149	107	https://www.ulta.com/p/skin-by-mented-foundation-pimprod2022002?sku=2578525	mented cosmetics	L40	30.0
Fit Me Dewy + Smooth Foundation	Ulta	239	200	161	https://www.ulta.com/p/fit-me-dewy-smooth-foundation-xlsImpprod2980151?sku=2537804	Maybelline	Fair Porcelain	8.99
Superpowder Double Face Makeup Foundation	Ulta	228	178	145	https://www.ulta.com/p/superpowder-double-face-makeup-foundation-xlsImpprod10791897?sku=2260627	Clinique	Matte Honey	37.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	208	145	94	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592428	FENTY BEAUTY by Rihanna	310	40.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	253	208	175	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592404	FENTY BEAUTY by Rihanna	110	40.0
Illusion Hyaluronic Skin Tint	Ulta	197	169	145	https://www.ulta.com/p/illusion-hyaluronic-skin-tint-pimprod2020463?sku=2575952	HOURGLASS	Sand	56.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	255	219	166	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592403	FENTY BEAUTY by Rihanna	105	40.0
Skin by Mented Foundation	Ulta	153	102	75	https://www.ulta.com/p/skin-by-mented-foundation-pimprod2022002?sku=2578531	mented cosmetics	M20	30.0
Bare With Me Blur Tint Soft Matte Foundation	Ulta	107	60	40	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2601306	NYX Professional Makeup	Rich	14.0
True Match Nude Hyaluronic Tinted Serum	Ulta	50	23	14	https://www.ulta.com/p/true-match-nude-hyaluronic-tinted-serum-pimprod2025003?sku=2582400	L'Oréal	10	19.99
Pro Filt'r Soft Matte Powder Foundation	Ulta	235	192	141	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592406	FENTY BEAUTY by Rihanna	130	40.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	221	163	123	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592417	FENTY BEAUTY by Rihanna	220	40.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	252	211	181	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592405	FENTY BEAUTY by Rihanna	120	40.0
